id,properties_name,address,latitude,longitude,no_of_stations,no_of_hawkers,no_of_supermarkets,no_of_schools,no_of_preschools,no_of_parks,no_of_malls,price,size,no_of_bedrooms,no_of_bathrooms,property_type,year_of_built,leasing,plot ratio,rental,subdistrict
3952,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,2777800,1615,5,3,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
3953,The Brooks I,60 Springside Walk,1.404809115,103.8194655,0,0,0,0,2,5,0,794000,571,1,1,Apartment,2016,Freehold,1.643559871,0,SPRINGLEAF
3954,City Gate,371 Beach Road,1.302347543,103.86226,2,3,3,0,4,3,2,1540000,775,2,2,Apartment,2019,99-year Leasehold,5.3,3.93,CRAWFORD
3955,The Interlace,212 Depot Road,1.282217696,103.803662,0,1,2,0,4,1,1,2200000,1615,3,3,Condominium,2013,99-year Leasehold,2.236991622,3.36,DEPOT ROAD
3956,FORETT@BUKIT TIMAH,32 Toh Tuck Road,1.339908539,103.7675232,0,0,1,0,3,3,0,1370000,743,2,2,Condominium,0,Freehold,1.54000006,0,ANAK BUKIT
3957,Parc Clematis,2 Jalan Lempeng,1.317106451,103.7589473,0,0,0,0,4,4,0,1193000,690,2,1,Apartment,0,99-year Leasehold,2.31,0,FABER
3958,Urban Vista,22 Tanah Merah Kechil Link,1.32757609,103.9444988,1,1,3,0,4,5,1,1450000,1098,4,3,Condominium,2016,99-year Leasehold,2.800014287,3.64,BEDOK NORTH
3959,Parc Clematis,8 Jalan Lempeng,1.317319329,103.7597172,0,0,0,0,4,4,0,2046000,1238,4,3,Condominium,0,99-year Leasehold,2.31,0,FABER
3960,My Manhattan,35 Simei Street 3,1.341740411,103.9534146,1,0,2,0,5,3,1,1725000,1303,3,4,Condominium,2014,99-year Leasehold,2.30000848,3.33,SIMEI
3961,FORETT@BUKIT TIMAH,32 Toh Tuck Road,1.339908539,103.7675232,0,0,1,0,3,3,0,960000,474,1,1,Condominium,0,Freehold,1.54000006,0,ANAK BUKIT
3962,TIONG BAHRU ESTATE,74 Tiong Poh Road,1.282936929,103.8327095,2,1,2,0,5,2,0,1100000,980,1,1,Walk-up Apartment,1967,99-year Leasehold,1,3.77,TIONG BAHRU
3963,Seahill,119 West Coast Crescent,1.298656689,103.7641136,0,1,1,0,2,2,0,3782310,3574,4,5,Condominium,2019,99-year Leasehold,2.800034748,3.83,CLEMENTI WEST
3964,Cashew Green,102 Cashew Road,1.372527002,103.7698701,1,1,1,0,5,5,0,5046000,4822,5,6,Semi-Detached House,0,999-year Leasehold,0,0, 
3965,Bijou,2 Jalan Mat Jambol,1.276853864,103.7917422,1,1,1,0,0,1,0,1265030,614,1,1,Condominium,2018,Freehold,3,4.75,PASIR PANJANG 2
3966,City Suites,235 Balestier Road,1.321291434,103.8521795,0,2,3,0,5,0,0,1500000,1119,2,2,Apartment,2017,Freehold,3.076125189,4.32,BALESTIER
3967,Off Holland Road at Greenleaf place,Greenleaf Place,1.324796163,103.7866848,0,0,0,0,1,1,0,6380000,2880,4,3,Semi-Detached House,0,Freehold,0,0, 
3968,Affinity At Serangoon,Serangoon North Avenue 1,1.369950992,103.8723123,0,0,2,0,5,0,0,1047000,624,2,2,Condominium,0,99-year Leasehold,3.079159945,0,SERANGOON GARDEN
3969,Affinity At Serangoon,Serangoon North Avenue 1,1.369950992,103.8723123,0,0,2,0,5,0,0,1275000,861,3,2,Condominium,0,99-year Leasehold,3.079159945,0,SERANGOON GARDEN
3970,Avenue South Residence,3 Silat Avenue,1.276280878,103.8297954,0,0,3,0,5,0,0,2646000,1496,4,4,Condominium,0,99-year Leasehold,3.700003501,0,BEDOK SOUTH
3971,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,3428750,2110,4,3,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
3972,The Greenwich,5 Seletar Road,1.38715929,103.8698329,0,0,1,0,4,5,1,799999,656,1,1,Condominium,2013,99-year Leasehold,1.4,2.93,SELETAR HILLS
3973,Leedon Green,30 Leedon Heights,1.31243992,103.8034025,1,1,0,0,4,0,0,1610000,614,2,1,Condominium,0,Freehold,1.759999868,0,FARRER COURT
3974,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1124000,646,2,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
3975,Vacanza @ East,46 Lengkong Tujoh,1.329360397,103.9154177,0,0,0,0,1,4,0,1230000,1033,3,2,Condominium,2014,Freehold,2.1,2.73,KEMBANGAN
3976,Provence Residence,23 Canberra Crescent,1.447784713,103.8274513,2,0,3,0,5,1,2,1500000,1399,4,3,Executive Condominium,0,99-year Leasehold,2.484,0,SEMBAWANG EAST
3977,Daintree Residence,11A Toh Tuck Road,1.340000986,103.7708699,1,1,3,0,5,5,2,900000,517,1,1,Apartment,0,99-year Leasehold,1.400002137,0,ANAK BUKIT
3978,Frankel Estate,Frankel Estate Singapore,1.317263362,103.9151433,1,0,0,0,5,2,0,9300000,3500,5,4,Detached House,0,Freehold,0,0, 
3979,Le Somme,60 Somme Road,1.311192191,103.8585039,4,1,5,0,5,4,4,800000,495,1,1,Condominium,2017,Freehold,3,0,LAVENDER
3980,PARK COLONIAL,2 woodleigh lane,1.338482692,103.8688465,2,0,1,0,2,0,0,994000,463,1,1,Condominium,0,99-year Leasehold,3.000015348,0,WOODLEIGH
3981,70C Telok Blangah Heights,70C Telok Blangah Heights,1.275996185,103.810863,1,2,1,0,5,0,0,968000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
3982,Heron Bay,Upper Serangoon View,1.377433378,103.9037136,0,0,1,0,5,0,0,1480000,1496,5,3,Executive Condominium,0,99-year Leasehold,3.5,0,KANGKAR
3983,826 Jurong West Street 81,826 Jurong West Street 81,1.346045295,103.6944236,0,1,3,0,5,0,2,490000,1302,4,2,HDB Flat,1989,99-year Leasehold,0,0, 
3984,THE LINE @ TANJONG RHU,6 Tanjong Rhu Road,1.298437301,103.884408,0,1,0,0,5,3,0,2214000,1055,3,2,Condominium,2016,Freehold,2.47261331,4.1,TANJONG RHU
3985,Thomson Three,45 Bright Hill Drive,1.357414045,103.8313634,0,0,1,0,5,4,1,1860000,1141,3,2,Condominium,2017,99-year Leasehold,2.799999256,3.24,UPPER THOMSON
3986,238 Bishan Street 22,238 Bishan Street 22,1.359760803,103.8446426,0,0,3,0,5,1,0,1280000,1540,3,2,HDB Flat,1990,99-year Leasehold,0,0, 
3987,138 Marsiling Road,138 Marsiling Road,1.438099953,103.7772638,0,1,0,0,3,1,0,767999,1872,4,3,HDB Flat,1995,99-year Leasehold,0,0, 
3988,Hillview Heights,29A Hillview Avenue,1.361017713,103.7655743,1,0,2,0,5,2,2,1350000,990,2,2,Condominium,1996,Freehold,1.92,2.32,HILLVIEW
3989,Forte Suites,88 Mergui Road,1.317827996,103.8519705,1,3,4,0,5,0,2,1750000,1141,2,2,Condominium,2018,Freehold,3.299629557,4.16,KAMPONG JAVA
3990,108B Mcnair Road,108B Mcnair Road,1.319981244,103.8590051,1,3,4,0,5,0,0,750000,1184,3,2,HDB Flat,2003,99-year Leasehold,0,0, 
3991,475D Upper Serangoon Crescent,475D Upper Serangoon Crescent,1.375182544,103.900406,0,0,1,0,5,0,0,595000,990,3,2,HDB Flat,2014,99-year Leasehold,0,0, 
3992,Whistler Grand,109 West Coast Vale,1.319611649,103.7543309,0,0,0,0,4,4,0,864000,506,1,1,Condominium,0,99-year Leasehold,2.800040834,0,WEST COAST
3993,H20 Residences,36 Fernvale Link,1.392452689,103.8800066,0,0,2,0,5,0,1,960000,883,2,2,Condominium,2015,99-year Leasehold,3,2.61,FERNVALE
3994,Katong Regency,17 Tanjong Katong Road,1.31437048,103.894529,2,4,5,0,5,3,5,1250000,581,1,1,Apartment,2015,Freehold,3.607425885,3.61,GEYLANG EAST
3995,Optima @ Tanah Merah,86 Tanah Merah Kechil Avenue,1.328441558,103.9463496,1,1,3,0,5,5,1,988000,700,2,1,Apartment,2012,99-year Leasehold,2.800060756,3.19,BEDOK NORTH
3996,Stirling Residences,25 Stirling Road,1.291149506,103.8045736,0,2,3,0,2,0,3,3348000,1970,4,3,Condominium,0,99-year Leasehold,4.200004737,0,MEI CHIN
3997,Kingsford Waterbay,66 Upper Serangoon View,1.373525853,103.9027083,0,0,1,0,1,0,0,2300000,1625,3,2,Terraced House,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
3998,Nine Residences,14 Yishun Avenue 9,1.433393697,103.8417584,0,0,5,0,5,0,1,639000,495,1,1,Apartment,2017,99-year Leasehold,2.8,3.24,YISHUN EAST
3999,183 Edgefield Plains,183 Edgefield Plains,1.398810031,103.9098456,0,0,3,0,5,0,2,499999,1184,3,2,HDB Flat,2002,99-year Leasehold,0,0, 
4000,Whistler Grand,107 West Coast Vale,1.320031287,103.7540103,0,0,0,0,1,0,0,3379200,2217,5,4,Condominium,0,99-year Leasehold,2.800040834,0,WEST COAST
4001,Kovan Regency,2 Kovan Rise,1.363048456,103.8857524,1,1,1,0,5,3,1,1500000,1001,1,1,Condominium,2016,99-year Leasehold,2.100022949,3.67,KOVAN
4002,The Cristallo,70 Lorong K Telok Kurau,1.312662908,103.911509,0,0,2,0,5,2,0,1108000,786,2,1,Condominium,2015,Freehold,1.4,0,FRANKEL
4003,DUO Residences,1 Fraser Street,1.29916296,103.8578595,5,2,4,0,4,2,5,2200000,936,2,2,Apartment,2017,99-year Leasehold,6.228545555,5.5,BUGIS
4004,Greenbank Park,Greenbank Park,1.347589492,103.7881737,0,0,0,0,1,0,0,7500000,5000,6,6,Detached House,0,Freehold,0,0, 
4005,KINGSFORD WATERBAY,76 upper serangoon view,1.375038314,103.9039101,0,0,1,0,2,0,0,1398000,1055,4,3,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
4006,261 Tampines Street 21,261 Tampines Street 21,1.354303493,103.9509655,3,0,4,0,5,0,0,380000,796,2,2,HDB Flat,1983,99-year Leasehold,0,0, 
4007,Fulcrum,33 Fort Road,1.298688314,103.8848534,0,1,0,0,5,4,0,1600000,829,2,2,Condominium,2016,Freehold,2.308865312,4.33,TANJONG RHU
4008,Waterfront Gold,752 Bedok Reservoir Road,1.338538185,103.9288039,1,1,3,0,4,1,0,900000,667,1,1,Condominium,2014,99-year Leasehold,2.7472375,2.98,BEDOK RESERVOIR
4009,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1150000,667,2,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
4010,D'Leedon,7 Leedon Heights,1.314421655,103.803913,1,1,0,0,3,1,0,1700000,1076,2,2,Condominium,2014,99-year Leasehold,2.905397956,4,FARRER COURT
4011,Zedge,2 Akyab Road,1.322421724,103.848172,1,0,5,0,5,0,2,1460000,861,2,2,Condominium,2010,Freehold,2.8,3.61,BALESTIER
4012,The Vermont On Cairnhill,12 Cairnhill Rise,1.308590937,103.8386742,0,0,1,0,2,0,2,2188888,893,2,2,Apartment,2014,Freehold,2.8,4.34,CAIRNHILL
4013,Nin Residence,83 Pheng Geck Avenue,1.332463743,103.8699595,2,0,1,0,5,3,1,1420000,926,2,2,Condominium,2014,99-year Leasehold,3.500140794,3.18,SENNETT
4014,The Tresor,26 Duchess Road,1.323624135,103.806909,1,0,2,0,5,3,0,4150000,1938,4,5,Condominium,2008,999-year Leasehold,1.4,0,CORONATION ROAD
4015,The Scotts Tower,38 Scotts Road,1.309990178,103.8354997,3,1,4,0,4,0,4,2200000,850,2,2,Condominium,2016,103-year Leasehold,3.136103415,5.18,CAIRNHILL
4016,River Isles,Punggol Central,1.400221793,103.9092521,0,0,5,0,5,0,1,1000000,893,3,2,Condominium,2016,99-year Leasehold,3,2.51,PUNGGOL FIELD
4017,Jalan Limbok,Jalan Limbok,1.364810619,103.8749071,0,0,0,0,5,2,0,3800000,5000,6,7,Terraced House,2014,999-year Leasehold,0,0, 
4018,E MAISON,28 Braddell Road,1.343282867,103.8692173,1,0,0,0,5,2,0,2850000,2217,3,3,Apartment,2016,Freehold,1.4,2.83,LORONG CHUAN
4019,307B Anchorvale Road,307B Anchorvale Road,1.389544653,103.8874435,0,0,2,0,5,0,0,575000,1377,4,2,HDB Flat,1999,99-year Leasehold,0,0, 
4020,Serangoon Garden Estate,Kensington Park Road,1.367555611,103.8664917,0,2,1,0,2,3,1,5480000,4500,6,6,Corner Terrace,0,Unknown Tenure,0,0, 
4021,Concourse Skyline,300 Beach Road,1.301010924,103.8624841,2,2,2,0,4,3,3,1550000,871,1,1,Condominium,2014,99-year Leasehold,0,4.4,NICOLL
4022,12 LiveTour,Begonia Road,1.387865071,103.8633801,0,0,1,0,5,5,1,3600000,6200,6,6,Detached House,1994,99-year Leasehold,0,0, 
4023,Rivervale Crest,5 Rivervale Crescent,1.390867811,103.9041889,0,1,2,0,5,1,2,1400000,1539,4,3,Condominium,2003,99-year Leasehold,2.999999557,2.15,RIVERVALE
4024,Serangoon Garden Estate,Alnwick Road,1.364692353,103.8682399,0,2,1,0,1,3,1,7750000,7500,6,7,Semi-Detached House,2020,999-year Leasehold,0,0, 
4025,One Of The Most Affordable Detached House For Upgraders In Tai Keng Garden Estate,Paya Lebar Crescent,1.349012712,103.883576,0,0,2,0,4,4,0,5000000,5000,6,7,Detached House,0,Freehold,0,0, 
4026,An Ideal House For Buyers Looking To Do AnA Or Reconstruction In Siglap Vicinity,Terang Bulan Avenue,1.321610863,103.9215063,0,0,4,0,5,4,0,3500000,3165,5,5,Corner Terrace,2001,Freehold,0,0, 
4027,Seletar Hills Estate,Jalan Bangau,1.383687875,103.8715896,0,0,1,0,5,4,1,4500000,4500,6,8,Semi-Detached House,2011,999-year Leasehold,0,0, 
4028,Serangoon Garden Estate,Tavistock Avenue,1.370198574,103.8654823,0,2,1,0,4,1,1,5380000,5865,5,5,Semi-Detached House,2020,999-year Leasehold,0,0, 
4029,Thomson Garden Estate,Jalan Khamis,1.353609904,103.837893,0,1,1,0,3,4,0,3980000,3600,5,4,Semi-Detached House,2011,Freehold,0,0, 
4030,489C Tampines Street 45,489C Tampines Street 45,1.361785655,103.9565325,1,0,2,0,5,0,0,550000,1302,4,2,HDB Flat,1989,99-year Leasehold,0,0, 
4031,The Topiary,19 Fernvale Lane,1.387998064,103.8721261,0,0,2,0,5,4,2,1090000,1044,3,3,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
4032,Lornie Road,Lornie Road,1.340398409,103.8319111,0,0,0,0,0,0,0,16200000,9200,7,7,Bungalow House,0,Freehold,0,0, 
4033,14 2,61 Goodman Road,1.304109261,103.8886924,1,1,3,0,4,3,0,12800000,7300,6,5,Bungalow House,0,Freehold,0,0, 
4034,17,Yio Chu Kang,1.375864505,103.8725978,0,0,3,0,5,1,0,2300000,5793,8,4,Terraced House,0,2d,0,0, 
4035,FloraView,5 Ang Mo Kio Street 66,1.391514648,103.8507334,0,0,0,0,3,2,0,958000,667,3,2,Apartment,2018,Freehold,1.498272908,0,YIO CHU KANG EAST
4036,Twin Vew,91 West Coast Vale,1.320049382,103.7521613,0,0,0,0,1,0,0,799999,484,1,1,Condominium,0,99-year Leasehold,2.800046403,0,WEST COAST
4037,Signature At Yishun,31 Yishun Street 51,1.417185322,103.8454447,0,0,2,0,5,0,1,1188000,1098,3,3,Executive Condominium,2018,99-year Leasehold,2.8,0,LOWER SELETAR
4038,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,740588,484,1,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
4039,Kaleido,Lorong K Telok Kurau,1.313081437,103.911771,0,0,1,0,5,2,0,2988000,3208,5,6,Corner Terrace,2017,Freehold,0,0, 
4040,Trilive,113 Tampines Road,1.36175111,103.8914468,1,1,3,0,5,0,1,2100000,1163,4,3,Condominium,2018,Freehold,2.1,3.31,LORONG AH SOO
4041,Costa Rhu,5 Rhu Cross,1.296479019,103.8664189,0,0,0,0,0,0,0,2480000,1776,3,4,Condominium,1998,99-year Leasehold,2.8,2.91,TANJONG RHU
4042,The Wisteria,590 Yishun Ring Road,1.418447036,103.8411124,0,0,5,0,5,1,1,1099999,969,3,2,Condominium,2018,99-year Leasehold,2.8,3.34,YISHUN SOUTH
4043,482 Pasir Ris Drive 4,482 Pasir Ris Drive 4,1.373758792,103.9597151,0,0,2,0,5,0,1,500000,1313,3,2,HDB Flat,1989,99-year Leasehold,0,0, 
4044,Principal Garden,99 Prince Charles Crescent,1.292375067,103.8228367,0,1,4,0,5,1,0,1750000,807,2,2,Condominium,2019,99-year Leasehold,2.100038855,5.05,ALEXANDRA NORTH
4045,18 Bedok South Road,18 Bedok South Road,1.320439328,103.9347819,0,2,3,0,5,2,1,320000,700,2,2,HDB Flat,1975,99-year Leasehold,0,0, 
4046,Mooi Residences,139 Holland Road,1.312577306,103.7983563,1,2,4,0,5,1,2,1380000,592,2,2,Apartment,0,Freehold,1.539253925,0,LEEDON PARK
4047,The Clement Canopy,18 Clementi Avenue 1,1.306676248,103.7685369,0,0,4,0,5,2,1,1299999,732,2,2,Apartment,2019,99-year Leasehold,3.50005369,4.36,CLEMENTI WOODS
4048,Concourse Skyline,296 Beach Road,1.300703934,103.8618611,4,2,2,0,3,3,4,3400000,1389,3,3,Condominium,2014,99-year Leasehold,0,4.4,NICOLL
4049,541 Ang Mo Kio Avenue 10,541 Ang Mo Kio Avenue 10,1.373922392,103.8556214,0,2,3,0,5,0,0,338000,732,3,2,HDB Flat,1979,99-year Leasehold,0,0, 
4050,The Lakeshore,31 Jurong West Street 41,1.345558103,103.7226131,1,1,4,0,5,0,0,1300000,1152,3,3,Condominium,2007,99-year Leasehold,3.5,2.85,HONG KAH
4051,The Creek @ Bukit,17 Toh Tuck Road,1.339341725,103.7697797,1,1,2,0,4,4,0,2539000,1722,4,3,Condominium,2017,Freehold,1.539953546,3.52,ANAK BUKIT
4052,One Duchess,1 DUCHESS ROAD,1.324833493,103.8083821,3,1,4,0,5,4,0,2180000,883,2,2,Apartment,0,999-year Leasehold,0,0,CORONATION ROAD
4053,119 Potong Pasir Avenue 1,119 Potong Pasir Avenue 1,1.334561497,103.862943,0,1,3,0,5,0,0,479000,1001,3,2,HDB Flat,1984,99-year Leasehold,0,0, 
4054,Seastrand,1 Pasir Ris Link,1.376534024,103.960778,0,0,1,0,5,0,0,846000,883,2,2,Condominium,2014,99-year Leasehold,2.1,2.72,PASIR RIS PARK
4055,Serangoon Garden Way,Serangoon Garden Way,1.363274359,103.8713664,0,2,1,0,5,3,1,5900000,8500,10,8,Detached House,0,Freehold,0,0, 
4056,26D Jalan Membina,26D Jalan Membina,1.28209884,103.8252028,1,3,4,0,5,2,1,520000,646,2,2,HDB Flat,2007,99-year Leasehold,0,0, 
4057,355 Kang Ching Road,355 Kang Ching Road,1.338573457,103.7208358,1,1,2,0,5,2,1,445000,1087,3,2,HDB Flat,1995,99-year Leasehold,0,0, 
4058,Mayfair Modern,2 Rifle Range Road,1.337188214,103.7817365,2,1,3,0,4,2,1,2274200,1033,3,3,Condominium,0,99-year Leasehold,1.539999068,0,SWISS CLUB
4059,Shamrock Park,89 Namly Place,1.324789133,103.7962815,0,0,1,0,4,1,0,9200000,6000,5,7,Semi-Detached House,0,Unknown Tenure,0,0, 
4060,Charismatic Detached Bungalow at Braddell Heights,Clifton Vale,1.346134703,103.8638601,0,0,0,0,5,3,0,10800000,7500,8,5,Detached House,0,Freehold,0,0, 
4061,Sennett Estate,Mulberry Avenue,1.331268648,103.8767469,0,0,3,0,5,5,0,6188000,4970,6,6,Semi-Detached House,2011,Freehold,0,0, 
4062,Signature At Yishun,21 Yishun Street 51,1.416969524,103.844552,0,0,2,0,5,0,1,850000,775,2,2,Executive Condominium,2018,99-year Leasehold,2.8,0,LOWER SELETAR
4063,180 Bedok North Road,180 Bedok North Road,1.326713488,103.9408922,1,2,4,0,5,1,0,598000,915,3,2,HDB Flat,2004,99-year Leasehold,0,0, 
4064,Principal Garden,91 Prince Charles Crescent,1.292938994,103.8216931,0,0,0,0,1,0,0,899999,495,1,1,Condominium,2019,99-year Leasehold,2.100038855,5.05,ALEXANDRA NORTH
4065,The Seafront on Meyer,55 Meyer Road,1.297321308,103.8880112,0,0,0,0,5,4,0,4400000,2088,4,3,Condominium,2011,Freehold,2.8,3.24,MOUNTBATTEN
4066,Florence Road Terraced House for Sale,Florence Road,1.364661386,103.8849496,1,1,1,0,5,4,1,3200000,2500,5,3,Terraced House,0,999-year Leasehold,0,0, 
4067,558 Ang Mo Kio Avenue 10,558 Ang Mo Kio Avenue 10,1.371236133,103.859192,0,2,2,0,5,1,0,360000,893,2,2,HDB Flat,1979,99-year Leasehold,0,0, 
4068,The Creek @ Bukit,17 Toh Tuck Road,1.339341725,103.7697797,1,1,2,0,4,4,0,2476000,1679,4,4,Condominium,2017,Freehold,1.539953546,3.52,ANAK BUKIT
4069,811A Choa Chu Kang Avenue 7,811A Choa Chu Kang Avenue 7,1.373730848,103.7459298,0,0,2,0,3,0,1,550000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
4070,Spottiswoode Residences,48 Spottiswoode Park Road,1.275271152,103.8368322,2,0,2,0,4,0,0,1900000,926,2,2,Condominium,2014,Freehold,2.8,4.48,EVERTON PARK
4071,217A Sumang Walk,217A Sumang Walk,1.402985918,103.8950208,0,0,3,0,5,0,0,575000,990,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
4072,Sloane Residences,17 Balmoral Road,1.315688872,103.8323179,0,0,1,0,2,0,0,3468413,1249,3,3,Condominium,0,Freehold,1.759979436,0,NASSIM
4073,H20 Residences,38 Fernvale Link,1.392534673,103.8805669,0,0,2,0,5,0,1,899999,885,2,2,Condominium,2015,99-year Leasehold,3,2.61,FERNVALE
4074,Midtown Modern,16 Tan Quee Lan Street,1.298505223,103.8570884,5,1,4,0,5,2,5,3586000,1518,4,3,Condominium,0,99-year Leasehold,4.200055504,0,BUGIS
4075,Trilive,113 Tampines Road,1.36175111,103.8914468,1,1,3,0,5,0,1,1480000,902,3,2,Condominium,2018,Freehold,2.1,3.31,LORONG AH SOO
4076,Siglap Road,Siglap road,1.320253536,103.9205129,1,0,4,0,5,5,0,4788888,4500,6,6,Semi-Detached House,2010,Freehold,0,0, 
4077,Echelon,9 Alexandra View,1.290606945,103.8178669,1,1,2,0,5,0,0,1900000,861,3,2,Condominium,2016,99-year Leasehold,4.900026124,4.53,REDHILL
4078,Midtown Modern,16 Tan Quee Lan Street,1.298505223,103.8570884,5,1,4,0,5,2,5,14000000,3272,4,5,Condominium,0,99-year Leasehold,4.200055504,0,BUGIS
4079,Coastal Breeze Residences,12 Loyang Besar Close,1.378509038,103.9572282,0,0,1,0,3,0,0,1450000,2065,3,4,Condominium,2012,99-year Leasehold,1.4,0,PASIR RIS PARK
4080,The Florida,70 Hougang Avenue 7,1.373183795,103.9003535,0,0,1,0,5,0,2,1200000,1324,3,2,Condominium,2000,99-year Leasehold,3,0,KANGKAR
4081,High Park Residences,21 Fernvale Road,1.396389613,103.8751328,0,0,4,0,5,1,1,1750000,1368,4,3,Condominium,2019,99-year Leasehold,3.000017228,3.66,FERNVALE
4082,Kingsford Waterbay,70 Upper Serangoon View,1.374093242,103.9032599,0,0,1,0,1,0,0,635000,484,1,1,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
4083,My Manhattan,31 Simei Street 3,1.341625063,103.9539743,1,0,1,0,5,3,1,1250000,1152,2,2,Condominium,2014,99-year Leasehold,2.30000848,3.33,SIMEI
4084,259C Punggol Field,259C Punggol Field,1.404534086,103.8956655,0,0,3,0,5,0,0,480000,1001,3,2,HDB Flat,2014,99-year Leasehold,0,0, 
4085,110A Depot Road,110A Depot Road,1.281428248,103.8092428,0,0,3,0,4,2,0,730000,990,3,2,HDB Flat,0,Unknown Tenure,0,0, 
4086,Leedon Residence,6 Leedon Heights,1.312890933,103.8013253,0,0,0,0,0,0,0,6499000,2669,4,4,Condominium,2015,Freehold,1.757219636,4.27,FARRER COURT
4087,Luxurious and Modern Resort Home for Tropical Living,8 Jalan Pergam,1.34246319,103.9611539,1,0,0,0,5,5,0,3500000,6000,5,6,Semi-Detached House,0,99-year Leasehold,0,0, 
4088,43 Marine Crescent,43 Marine Crescent,1.305518881,103.913022,0,2,3,0,5,2,0,958000,1292,3,2,HDB Flat,1975,99-year Leasehold,0,0, 
4089,Parc Riviera,103 West Coast Vale,1.320614301,103.7532909,0,0,0,0,1,0,0,1599999,1152,4,3,Condominium,0,99-year Leasehold,2.800033847,3.98,WEST COAST
4090,Parc Rosewood,77 Rosewood Drive,1.428373775,103.7862547,0,0,2,0,3,0,1,570000,506,1,1,Condominium,2014,99-year Leasehold,1.400026296,3.48,WOODGROVE
4091,61B Strathmore Avenue,61B Strathmore Avenue,1.29375108,103.8119567,2,0,2,0,5,0,0,840000,1033,3,2,HDB Flat,2010,99-year Leasehold,0,0, 
4092,Woodgrove Estate,32 Woodgrove Avenue,1.427401748,103.779334,0,1,3,0,5,0,1,2580000,3600,6,5,Corner Terrace,2000,99-year Leasehold,0,0, 
4093,Principal Garden,91 Prince Charles Crescent,1.292938994,103.8216931,0,0,0,0,1,0,0,1550000,764,2,2,Condominium,2019,99-year Leasehold,2.100038855,5.05,ALEXANDRA NORTH
4094,Three 11,311 Upper Thomson Road,1.356654471,103.8287367,0,0,1,0,5,4,1,1020000,581,1,1,Apartment,2016,Freehold,1.539755669,0,UPPER THOMSON
4095,Regent Grove,50 Choa Chu Kang North 7,1.39931152,103.7488067,1,0,2,0,5,0,2,1000000,1259,4,3,Condominium,2000,99-year Leasehold,2.999982493,2.05,YEW TEE
4096,FORETT@BUKIT TIMAH,32 Toh Tuck Road,1.339908539,103.7675232,0,0,1,0,3,3,0,1808000,980,3,3,Condominium,0,Freehold,1.54000006,0,ANAK BUKIT
4097,Parc Clematis,2 Jalan Lempeng,1.317106451,103.7589473,0,0,0,0,4,4,0,1968000,1238,4,3,Condominium,0,99-year Leasehold,2.31,0,FABER
4098,FORETT@BUKIT TIMAH,32 Toh Tuck Road,1.339908539,103.7675232,0,0,1,0,3,3,0,2639000,1582,4,3,Condominium,0,Freehold,1.54000006,0,ANAK BUKIT
4099,Jadescape,Jadescape,1.352360796,103.8390839,1,1,1,0,5,4,0,3357000,2099,5,4,Condominium,0,99-year Leasehold,3.079999789,0,UPPER THOMSON
4100,Ripple Bay,10 Pasir Ris Link,1.378379954,103.960914,0,0,1,0,5,0,0,830000,786,2,2,Condominium,2016,99-year Leasehold,2.100034005,2.75,PASIR RIS PARK
4101,Archipelago,Bedok Reservoir Road,1.337587346,103.9219636,1,2,3,0,5,2,0,750000,527,1,1,Condominium,2015,99-year Leasehold,1.400020604,2.86,BEDOK RESERVOIR
4102,142 Jalan Bukit Merah,142 Jalan Bukit Merah,1.277008235,103.8280562,0,1,2,0,4,0,0,360000,721,2,2,HDB Flat,1978,99-year Leasehold,0,0, 
4103,665C Punggol Drive,665C Punggol Drive,1.401491646,103.9144591,0,0,5,0,5,1,1,680000,1216,2,2,HDB Flat,2015,99-year Leasehold,0,0, 
4104,676A Punggol Drive,676A Punggol Drive,1.404827091,103.9098707,0,0,5,0,5,1,1,500000,1001,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
4105,530A Pasir Ris Drive 1,530A Pasir Ris Drive 1,1.371140539,103.9498505,1,1,2,0,5,0,0,650000,926,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
4106,70B Telok Blangah Heights,70B Telok Blangah Heights,1.276749457,103.8105415,1,2,1,0,5,1,0,800000,1001,2,2,HDB Flat,2016,99-year Leasehold,0,0, 
